Ticket Id,Status (Ticket),Ticket Closed Time,First Response Time
6855.0,Closed,18-05-2021 23:32,18-05-2021 19:25
6863.0,Closed,19-05-2021 11:03,19-05-2021 11:03
6874.0,Closed,18-05-2021 20:36,18-05-2021 20:36
6869.0,Closed,19-05-2021 11:04,18-05-2021 23:34
6891.0,Closed,19-05-2021 17:13,18-05-2021 23:37
6895.0,Closed,18-05-2021 23:37,18-05-2021 19:14
6889.0,Closed,20-05-2021 15:13,18-05-2021 19:24
6901.0,Closed,18-05-2021 20:44,18-05-2021 20:43
6908.0,Closed,19-05-2021 22:01,18-05-2021 19:23
6915.0,Closed,19-05-2021 11:13,18-05-2021 20:50
6921.0,Closed,18-05-2021 23:42,18-05-2021 20:47
6932.0,Closed,19-05-2021 11:14,18-05-2021 20:38
6941.0,Closed,19-05-2021 11:15,19-05-2021 11:15
6951.0,Closed,18-05-2021 23:17,18-05-2021 23:09
6954.0,Fullstack,18-05-2021 23:16,18-05-2021 23:14
6962.0,Closed,20-05-2021 21:34,19-05-2021 21:26
6963.0,Closed,19-05-2021 11:16,19-05-2021 08:47
6966.0,Closed,19-05-2021 23:04,19-05-2021 10:03
6973.0,Closed,19-05-2021 11:19,19-05-2021 11:19
6974.0,Closed,19-05-2021 22:33,19-05-2021 10:02
6975.0,Closed,19-05-2021 11:19,19-05-2021 10:21
6979.0,Closed,19-05-2021 17:25,19-05-2021 17:26
6986.0,Duplicate,19-05-2021 22:09,
6987.0,Closed,20-05-2021 21:33,19-05-2021 18:55
6988.0,Duplicate,19-05-2021 22:09,
6989.0,Duplicate,19-05-2021 22:10,
6990.0,Duplicate,19-05-2021 23:05,19-05-2021 18:22
7049.0,Deleted,19-05-2021 19:45,
7056.0,Closed,19-05-2021 22:17,19-05-2021 21:13
7058.0,Duplicate,19-05-2021 22:17,
7059.0,Re-opened,-,19-05-2021 20:59
7062.0,Closed,20-05-2021 12:36,20-05-2021 11:37
7070.0,Closed,20-05-2021 22:39,19-05-2021 23:11
7072.0,Closed,21-05-2021 17:54,19-05-2021 23:12
7075.0,Closed,20-05-2021 21:04,20-05-2021 15:26
7080.0,Deleted,20-05-2021 01:09,
7088.0,Duplicate,20-05-2021 15:26,
7101.0,Closed,21-05-2021 20:02,20-05-2021 21:42
